Event Name,Log Source,Event Count,Time,Low Level Category,Source IP,Source Port,Destination IP,Destination Port,Username,Magnitude
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,8,"Feb 19, 2017, 3:00:27 PM",Firewall Permit,82.205.67.11,50476,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,8,"Feb 19, 2017, 3:00:27 PM",Information,82.205.67.11,50476,88.88.88.88,80,N/A,7
Connection_Discarded,Had_Stonesoft Management Center @ 10.160.140.6,2,"Feb 19, 2017, 3:00:29 PM",Firewall Deny,88.88.88.88,80,176.58.78.135,13398,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:31 PM",Information,176.106.45.207,50683,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:31 PM",Information,176.106.45.207,50684,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,35,"Feb 19, 2017, 3:00:22 PM",Firewall Permit,31.223.191.227,35636,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,34,"Feb 19, 2017, 3:00:22 PM",Information,31.223.191.227,35635,88.88.88.88,80,N/A,7
File-Binary_Conflicting-Content-Type-Text-Plain,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:34 PM",Information,212.106.86.223,48455,88.88.88.88,80,N/A,7
File-Binary_Conflicting-Content-Type-Text,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:34 PM",Information,212.106.86.223,48455,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:36 PM",Firewall Permit,82.205.123.23,12487,88.88.88.88,80,N/A,8
File-Binary_Conflicting-Content-Type-Text-Plain,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:36 PM",Information,46.253.89.249,21689,88.88.88.88,80,N/A,7
File-Binary_Conflicting-Content-Type-Text,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:36 PM",Information,46.253.89.249,21689,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:39 PM",Information,176.106.45.207,50685,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,15,"Feb 19, 2017, 3:00:32 PM",Firewall Permit,31.223.191.227,35652,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,16,"Feb 19, 2017, 3:00:32 PM",Information,31.223.191.227,35652,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:42 PM",Firewall Permit,82.205.123.23,12488,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:42 PM",Firewall Permit,82.205.123.23,12489,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:42 PM",Information,82.205.123.23,12488,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:00:43 PM",Information,82.205.123.23,12489,88.88.88.88,80,N/A,7
